model,output_len,run_id,learning_rate,epochs_trained,best_test_loss_scaled,final_train_loss_scaled,final_test_loss_scaled,mse,mae,mape,r2
lstm,365,1,1e-06,983,0.49671389907598495,0.6750061392784119,0.4967828392982483,224694.44,370.76028,31.77579641342163,0.049780658207513755
lstm,365,2,1e-06,1000,0.49433641880750656,0.6720004558563233,0.49433641880750656,223616.23,369.36395,31.7063570022583,0.05594056832269315
lstm,365,3,1e-06,964,0.4939779192209244,0.6770331859588623,0.4939785897731781,223338.92,369.37585,31.68131709098816,0.05671114200793863
lstm,365,4,1e-06,900,0.4963180720806122,0.6775433421134949,0.4963432848453522,224493.55,370.87448,31.893861293792725,0.05184764499888587
lstm,365,5,1e-06,911,0.4989206790924072,0.6749030590057373,0.49896814674139023,225775.47,371.7827,31.90447688102722,0.04529614960373316
