model,output_len,run_id,learning_rate,epochs_trained,best_test_loss_scaled,final_train_loss_scaled,final_test_loss_scaled,mse,mae,mape,r2
lstm,90,1,5e-06,206,0.41886503497759503,0.49834438496165806,0.42559322383668685,189893.11,344.95963,29.694685339927673,0.26819935541508333
lstm,90,2,5e-06,198,0.4244753420352936,0.5095744099881914,0.4263378431399663,193153.73,347.62177,29.938963055610657,0.255347963479586
lstm,90,3,5e-06,212,0.4265226324399312,0.5155615078078376,0.4351517591211531,195230.9,350.12646,31.12351894378662,0.24751878059805094
lstm,90,4,5e-06,186,0.42895955012904274,0.5246816674868265,0.4334089093738132,195426.72,348.4181,30.237853527069092,0.2467919648466206
lstm,90,5,5e-06,204,0.41416198511918384,0.5184913211398654,0.41760681404007804,189127.27,342.1535,29.90717887878418,0.27095356207896004
