model,output_len,run_id,learning_rate,epochs_trained,best_test_loss_scaled,final_train_loss_scaled,final_test_loss_scaled,mse,mae,mape,r2
transformer,365,1,0.0001,59,0.38971278816461563,0.4800067007541656,0.4070075452327728,178408.25,330.9245,27.24829614162445,0.2271882014959387
transformer,365,2,0.0001,50,0.42584773898124695,0.49028925895690917,0.4883134141564369,194743.45,345.42053,28.729692101478577,0.15796264857447498
transformer,365,3,0.0001,51,0.4423404708504677,0.4944646954536438,0.5071705058217049,202621.45,354.79956,29.626792669296265,0.124826698059895
transformer,365,4,0.0001,65,0.3736121356487274,0.4731803059577942,0.39156245440244675,170833.86,321.06403,26.363831758499146,0.25464696170516143
transformer,365,5,0.0001,89,0.38136883080005646,0.45413665771484374,0.39898139983415604,174317.67,327.90686,26.68628990650177,0.24492858594756092
