model,output_len,run_id,learning_rate,epochs_trained,best_test_loss_scaled,final_train_loss_scaled,final_test_loss_scaled,mse,mae,mape,r2
transformer,90,1,5e-06,422,0.418042563729816,0.5273048281669617,0.4196045928531223,189019.72,344.45062,32.330867648124695,0.2696802116699318
transformer,90,2,5e-06,476,0.40807728634940255,0.5275872184170617,0.4088204436832004,182630.39,334.49075,31.77681863307953,0.2945632641705773
transformer,90,3,5e-06,380,0.4338325460751851,0.5584529903199937,0.43489091595013935,196899.42,350.14694,33.604854345321655,0.23876138109217954
transformer,90,4,5e-06,536,0.3819757236374749,0.4935413830810123,0.38254837857352364,170259.72,325.61453,29.474276304244995,0.34192854031371456
transformer,90,5,5e-06,595,0.3674729565779368,0.4917868872483571,0.3689480010006163,163299.61,316.27426,29.055431485176086,0.3690155860991033
