model,output_len,run_id,learning_rate,epochs_trained,best_test_loss_scaled,final_train_loss_scaled,final_test_loss_scaled,mse,mae,mape,r2
wg_tcn_transformer,365,1,3e-06,1000,0.33824921399354935,0.5073152899742126,0.33824921399354935,153838.4,302.6563,24.77046549320221,0.32208504831754853
wg_tcn_transformer,365,2,3e-06,848,0.3792602866888046,0.5289457559585571,0.3802621588110924,173331.88,324.76486,26.917552947998047,0.24314207494885387
wg_tcn_transformer,365,3,3e-06,928,0.3732590079307556,0.5173918247222901,0.37327898293733597,170653.69,322.94247,26.534080505371094,0.2552635673572884
wg_tcn_transformer,365,4,3e-06,905,0.37712550163269043,0.5181840419769287,0.3776543438434601,172388.78,324.33054,26.799198985099792,0.24778014593689182
wg_tcn_transformer,365,5,3e-06,935,0.3706432580947876,0.5145243167877197,0.37104202061891556,169221.8,318.11627,26.125022768974304,0.2563445334997909
